state,alpha,1,2,3,average
p=97 opt:adamW weight decay=0.05_dropout=0,0.7,69.11087496,68.57952533,69.18172157,68.95737395
p=97 opt:adamW weight decay=0.05_dropout=0,0.75,74.33064173,76.37059074,73.6081598,74.76979742
p=97 opt:adamW weight decay=0.05_dropout=0,0.8,77.63018066,79.48990436,81.03081828,79.38363443
p=97 opt:adamW weight decay=1.0_dropout=0,0.3,18.71868833,18.99195385,17.91407317,18.54157178
p=97 opt:adamW weight decay=1.0_dropout=0,0.35,26.09548725,24.67298888,31.57292348,27.4471332
p=97 opt:adamW weight decay=1.0_dropout=0,0.4,97.23698193,43.46439957,38.41657811,59.70598654
p=97 opt:adamW weight decay=1.0_dropout=0,0.45,98.43478261,98.02898551,99.24637681,98.57004831
p=97 opt:adamW weight decay=1.0_dropout=0,0.5,98.83103082,98.17215728,99.06482465,98.68933758
p=97 opt:adamW weight decay=1.0_dropout=0,0.55,99.85832349,100,99.69303424,99.85045258
p=97 opt:adamW weight decay=1.0_dropout=0,0.6,100,100,99.97343252,99.99114417
p=97 opt:adamW weight decay=1.0_dropout=0,0.65,100,100,100,100
p=97 opt:adamW weight decay=1.0_dropout=0,0.7,99.96457669,100,100,99.98819223
p=97 opt:adamW weight decay=1.0_dropout=0,0.75,100,100,100,100
p=97 opt:adamW weight decay=1.0_dropout=0,0.8,100,100,100,100
p=97 opt:RMSprop lr=0.0001_dropout=0,0.3,15.45468347,20.5556399,20.5556399,18.85532109
p=97 opt:RMSprop lr=0.0001_dropout=0,0.35,19.89862655,18.41072596,20.78155657,19.6969697
p=97 opt:RMSprop lr=0.0001_dropout=0,0.4,21.60821821,25.27453064,29.91498406,25.5992443
p=97 opt:RMSprop lr=0.0001_dropout=0,0.45,34.95652174,30.49275362,32.09661836,32.51529791
p=97 opt:RMSprop lr=0.0001_dropout=0,0.5,41.91285866,40.93517535,39.70244421,40.8501594
p=97 opt:RMSprop lr=0.0001_dropout=0,0.55,47.06021251,49.98819362,46.70602125,47.91814246
p=97 opt:RMSprop lr=0.0001_dropout=0,0.6,52.86928799,56.50903294,56.53560043,55.30464045
p=97 opt:RMSprop lr=0.0001_dropout=0,0.65,61.14146934,64.84517304,61.11111111,62.36591783
p=97 opt:RMSprop lr=0.0001_dropout=0,0.7,67.97732908,68.50867871,67.80021254,68.09540678
p=97 opt:RMSprop lr=0.0001_dropout=0,0.75,74.75563111,72.12069698,72.37569061,73.08400623
p=97 opt:RMSprop lr=0.0001_dropout=0,0.8,80.49946865,78.63974495,75.92986185,78.35635848
p=97 opt:RMSprop lr=0.001_dropout=0,0.3,3.17291635,4.372248368,2.702292394,3.415819037
p=97 opt:RMSprop lr=0.001_dropout=0,0.35,13.9470242,9.69587966,8.731196861,10.79136691
p=97 opt:RMSprop lr=0.001_dropout=0,0.4,15.90506553,9.511158342,13.60255048,13.00625812
p=97 opt:RMSprop lr=0.001_dropout=0,0.45,16.03864734,13.46859903,18.57004831,16.0257649
p=97 opt:RMSprop lr=0.001_dropout=0,0.5,18.74601488,20.34006376,24.63336876,21.2398158
p=97 opt:RMSprop lr=0.001_dropout=0,0.55,30.01180638,31.19244392,40.094451,33.76623377
p=97 opt:RMSprop lr=0.001_dropout=0,0.6,38.97449522,41.39213603,39.79808714,40.05490613
p=97 opt:RMSprop lr=0.001_dropout=0,0.65,56.64845173,53.79477838,56.28415301,55.57579437
p=97 opt:RMSprop lr=0.001_dropout=0,0.7,59.47573503,64.82465462,59.12150195,61.14063053
p=97 opt:RMSprop lr=0.001_dropout=0,0.75,68.97577561,68.76328092,72.67318317,70.13741323
p=97 opt:RMSprop lr=0.001_dropout=0,0.8,92.45483528,89.4261424,97.82146652,93.23414807
p=97 opt:SGD momentum=0.9_dropout=0,0.3,1.806588735,0.986792166,2.641566722,1.811649208
p=97 opt:SGD momentum=0.9_dropout=0,0.35,3.090255069,4.136690647,4.872465664,4.033137127
p=97 opt:SGD momentum=0.9_dropout=0,0.4,4.941551541,6.376195537,9.316330145,6.878025741
p=97 opt:SGD momentum=0.9_dropout=0,0.45,17.23671498,12.1352657,8.115942029,12.49597424
p=97 opt:SGD momentum=0.9_dropout=0,0.5,20.04250797,18.66099894,24.20828905,20.97059865
p=97 opt:SGD momentum=0.9_dropout=0,0.55,39.14994097,37.00118064,34.73435655,36.96182605
p=97 opt:SGD momentum=0.9_dropout=0,0.6,49.01700319,48.565356,51.40807651,49.66347857
p=97 opt:SGD momentum=0.9_dropout=0,0.65,62.53794778,59.16818458,59.89678203,60.5343048
p=97 opt:SGD momentum=0.9_dropout=0,0.7,71.02373362,68.4732554,82.43003897,73.97567599
p=97 opt:SGD momentum=0.9_dropout=0,0.75,87.50531237,79.17552061,77.90055249,81.52712849
p=97 opt:SGD momentum=0.9_dropout=0,0.8,95.74920298,89.63868225,81.45589798,88.94792774
